date;node;edge;user_node;user_edge;node_descrip;node_user_descrip;node_size;url
Tue Apr 05 00:51:43 +0000 2016;717152702845681664;('717152702845681664', '717151825380581376');65593140;('65593140', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;gryffindreamt;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 00:51:24 +0000 2016;717152626781990912;('717152626781990912', '717151825380581376');53864669;('53864669', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;VoiceTVOfficial;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Mon Apr 04 16:57:06 +0000 2016;717033261571112960;('717033261571112960', '717030026609340418');3215961051;('3215961051', '398110728');RT @therussophile: Putinophobia hits boiling point: Kremlin says ‘insinuations’ in Panama leak don’t need response https://t.co/1SnzO5pteZ;LenaSakuraBlume;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Mon Apr 04 16:44:14 +0000 2016;717030026609340418;;398110728;;Putinophobia hits boiling point: Kremlin says ‘insinuations’ in Panama leak don’t need response https://t.co/1SnzO5pteZ;therussophile;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Mon Apr 04 16:05:43 +0000 2016;717020332016607232;('717020332016607232', '717010784061112321');4355432712;('4355432712', '365687890');"RT @OliverBullough: So, Putinophobia? Better, worse, different to, the same as; Russophobia? https://t.co/sqoA8hkjpO";FrangelicoQueen;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Mon Apr 04 15:27:46 +0000 2016;717010784061112321;;365687890;;"So, Putinophobia? Better, worse, different to, the same as; Russophobia? https://t.co/sqoA8hkjpO";OliverBullough;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Mon Apr 04 15:41:35 +0000 2016;717014259591421952;('717014259591421952', '717010784061112321');160332317;('160332317', '365687890');"RT @OliverBullough: So, Putinophobia? Better, worse, different to, the same as; Russophobia? https://t.co/sqoA8hkjpO";SEEnnis;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Mon Apr 04 15:39:02 +0000 2016;717013618441715712;('717013618441715712', '716958816986927105');297052424;('297052424', '14371600');"RT @Guerraeterna: El Kremlin dice que los papeles de Panamá son sólo especulaciones y ""Putinofobia"". Ja. https://t.co/hJs1IKoB7J";GPdMG;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Mon Apr 04 15:36:36 +0000 2016;717013004663934977;('717013004663934977', '717010784061112321');2516920201;('2516920201', '365687890');"RT @OliverBullough: So, Putinophobia? Better, worse, different to, the same as; Russophobia? https://t.co/sqoA8hkjpO";Whtapl;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Mon Apr 04 15:30:04 +0000 2016;717011359855194112;('717011359855194112', '717010784061112321');17737614;('17737614', '365687890');"RT @OliverBullough: So, Putinophobia? Better, worse, different to, the same as; Russophobia? https://t.co/sqoA8hkjpO";RobertMackey;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Mon Apr 04 14:30:56 +0000 2016;716996479706079232;('716996479706079232', '716963284709191680');239336273;('239336273', '20759034');"RT @markmackinnon: First, there was ""Russophobia."" Now there's ""Putinophobia."" https://t.co/AZDrtl5UJl";BaramNkahirwa;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Mon Apr 04 12:19:02 +0000 2016;716963284709191680;;20759034;;"First, there was ""Russophobia."" Now there's ""Putinophobia."" https://t.co/AZDrtl5UJl";markmackinnon;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Sat Apr 02 16:40:57 +0000 2016;716304423933181953;('716304423933181953', '716304204470493184');38671143;('38671143', '19059809');RT @RussiaNow: Russia Retains Presence on Ukrainian Gas Market Despite Reduced Demand: Russia's energy giant Gazprom has reta... https://t.…;fillagainb;;http://sputniknews.com/business/20160402/1037386592/russia-ukraine-gas-market.html
Sat Apr 02 16:40:05 +0000 2016;716304204470493184;;19059809;;Russia Retains Presence on Ukrainian Gas Market Despite Reduced Demand: Russia's energy giant Gazprom has reta... https://t.co/6wb70DcVQ9;RussiaNow;;http://sputniknews.com/business/20160402/1037386592/russia-ukraine-gas-market.html
Thu May 05 01:15:34 +0000 2016;728030343710814208;('728030343710814208', '718465846767697920');784337322;('784337322', '1978535671');"RT @witooosik: Процесс пошёл...
#Закарпатская область потребовала автономии у #Киева... https://t.co/z9ql128j6v https://t.co/aVmkqRqfxV";vladt4506;;https://lenta.ru/news/2016/04/07/zakarpatye/
Fri Apr 08 15:49:40 +0000 2016;718465846767697920;;1978535671;;"Процесс пошёл...
#Закарпатская область потребовала автономии у #Киева... https://t.co/z9ql128j6v https://t.co/aVmkqRqfxV";witooosik;;https://lenta.ru/news/2016/04/07/zakarpatye/
